erp_sku,name,description,category,brand,unit_of_sale,net_content,gtin,identifier_type,price,currency,tax_group,valid_from,is_active
ERP-10001,Organic Whole Milk 1L,Fresh organic whole milk 1 litre,Dairy,EcoFarm,EA,1.0,7310865085801,GTIN13,24.90,SEK,tax-food-12,2025-01-01,true
ERP-10002,Sourdough Bread 750g,Artisan sourdough loaf 750 grams,Bakery,Hometown Bakery,EA,750.0,2345000001230,GTIN13,42.00,SEK,tax-food-12,2025-01-01,true
ERP-10003,Banana,Fresh bananas sold by weight,Produce,Chiquita,KG,1.0,4011,PLU,22.90,SEK,tax-food-12,2025-01-01,true
ERP-10004,Gift Card 500 SEK,Reloadable store gift card,Services,HiiMart,EA,1.0,GC-500,SKU,500.00,SEK,tax-standard-25,2025-01-01,true
ERP-10005,Sparkling Water 500ml,Natural sparkling mineral water,Beverages,NordicSpring,EA,0.5,7300123456788,GTIN13,15.50,SEK,tax-food-12,2025-01-01,true
ERP-10006,Coffee Beans 400g,Dark roast whole bean coffee,Beverages,Arvid Nordquist,EA,400.0,7601234567890,GTIN13,89.90,SEK,tax-food-12,2025-01-01,true
ERP-10007,Dish Soap 750ml,Concentrated dishwashing liquid lemon scent,Household,CleanLine,EA,750.0,8410987654325,GTIN13,34.90,SEK,tax-standard-25,2025-01-01,true
ERP-10008,Salmon Fillet,Fresh Atlantic salmon fillet sold by weight,Produce,Nordic Catch,KG,1.0,2003456000011,GTIN13,189.00,SEK,tax-food-12,2025-01-01,true
ERP-10009,Cotton Socks 3-Pack,Everyday cotton socks three pair pack,Apparel,BasicWear,EA,3.0,5012345678900,GTIN13,79.00,SEK,tax-standard-25,2025-01-01,true
ERP-10010,Phone Charger Cable USB-C 1m,USB-C to USB-C fast charging cable 1 metre,Electronics,ChargePro,EA,1.0,8850123456787,GTIN13,149.00,SEK,tax-standard-25,2025-01-01,true
